NodeID,ZoneName,Elevation_m,Slope_deg,Rainfall_mm_hr,Soil_Stability,Vibration_Level,Risk_Level
N78,Nainital Lake Hill Road - Zone 78,356,19,21,0.32,Medium,Low
N79,Himalayan Ridge Road - Zone 79,522,60,27,0.71,Medium,Low
N80,Munnar Tea Valley Road - Zone 80,1541,70,12,0.47,High,Medium
N81,Shimla Ridge Highway - Zone 81,821,10,50,0.51,High,Low
N82,Spiti Valley Cliff Road - Zone 82,1706,30,28,0.5,High,Low
N83,Nainital Lake Hill Road - Zone 83,1576,45,47,0.79,High,Low
N84,Uttarakhand Valley Road - Zone 84,1338,44,47,0.49,Medium,Medium
N85,Uttarakhand Valley Road - Zone 85,1435,21,17,0.49,Medium,Low
N86,Darjeeling Hill Road - Zone 86,1560,43,30,0.58,Low,Low
N87,Uttarakhand Valley Road - Zone 87,887,31,32,0.75,High,Low
N88,Nainital Lake Hill Road - Zone 88,1252,61,33,0.67,High,Medium
N89,Gangtok Ridge Road - Zone 89,647,15,23,0.56,High,Low
N90,Mussoorie Hill Road - Zone 90,986,16,57,0.87,Low,Low
N91,Uttarakhand Valley Road - Zone 91,760,30,14,0.22,Low,Low
N92,Gangtok Ridge Road - Zone 92,1551,14,34,0.49,High,Low
N93,Kinnaur Mountain Highway - Zone 93,698,54,36,0.48,Low,Medium
N94,Aravalli Hills Road - Zone 94,518,59,19,0.32,High,Medium
N95,Coorg Forest Hill Road - Zone 95,1251,11,40,0.37,Low,Low
N96,Tawang Mountain Route - Zone 96,573,64,47,0.57,High,Medium
N97,Mussoorie Hill Road - Zone 97,949,61,44,0.77,High,Medium
N98,Munnar Tea Valley Road - Zone 98,1422,62,15,0.72,Medium,Low
N99,Tawang Mountain Route - Zone 99,830,36,58,0.65,High,Medium
N100,Gangtok Ridge Road - Zone 100,1583,35,22,0.51,High,Low
N101,Uttarakhand Valley Road - Zone 101,780,39,26,0.42,High,Low
N102,Nilgiri Mountain Pass - Zone 102,583,24,19,0.47,Low,Low
N103,Shimla Ridge Highway - Zone 103,431,58,31,0.43,Medium,Medium
N104,Munnar Tea Valley Road - Zone 104,427,31,58,0.49,High,Medium
N105,Aravalli Hills Road - Zone 105,1479,53,35,0.2,Medium,Medium
N106,Uttarakhand Valley Road - Zone 106,1098,58,39,0.72,High,Medium
N107,Mussoorie Hill Road - Zone 107,751,67,19,0.39,Medium,Medium
N108,Aravalli Hills Road - Zone 108,1096,48,47,0.68,Medium,Medium
N109,Darjeeling Hill Road - Zone 109,1257,21,44,0.57,Medium,Low
N110,Kinnaur Mountain Highway - Zone 110,1455,8,10,0.65,Low,Low
N111,Tawang Mountain Route - Zone 111,672,11,21,0.47,Low,Low
N112,Tawang Mountain Route - Zone 112,969,48,53,0.82,Medium,Medium
N113,Munnar Tea Valley Road - Zone 113,816,15,35,0.21,High,Low
N114,Himalayan Ridge Road - Zone 114,1016,33,46,0.25,High,Medium
N115,Himalayan Ridge Road - Zone 115,363,36,17,0.79,High,Low
N116,Sikkim Valley Road - Zone 116,788,21,35,0.67,High,Low
N117,Shimla Ridge Highway - Zone 117,1252,37,54,0.46,High,Medium
N118,Mussoorie Hill Road - Zone 118,1771,19,54,0.77,Medium,Low
N119,Western Ghats Cliff Route - Zone 119,1485,8,24,0.6,Medium,Low
N120,Ooty Hill Pass - Zone 120,1764,30,9,0.61,High,Low
N121,Manali Mountain Road - Zone 121,508,43,59,0.68,Low,Medium
N122,Kinnaur Mountain Highway - Zone 122,384,49,39,0.5,Medium,Medium
N123,Nilgiri Mountain Pass - Zone 123,1336,48,5,0.79,Medium,Low
N124,Western Ghats Cliff Route - Zone 124,1187,51,45,0.82,Medium,Low
N125,Sikkim Valley Road - Zone 125,1191,27,51,0.57,High,Low
N126,Leh-Ladakh Cliff Route - Zone 126,1561,73,54,0.54,Medium,Medium
N127,Kinnaur Mountain Highway - Zone 127,849,46,59,0.37,Low,Medium
N128,Leh-Ladakh Cliff Route - Zone 128,1223,36,53,0.53,High,Medium
N129,Ooty Hill Pass - Zone 129,988,8,36,0.8,Low,Low
N130,Gangtok Ridge Road - Zone 130,734,50,56,0.38,Medium,Medium
N131,Mussoorie Hill Road - Zone 131,1736,40,40,0.21,Low,Medium
N132,Nilgiri Mountain Pass - Zone 132,794,57,36,0.59,Low,Medium
N133,Gangtok Ridge Road - Zone 133,1622,67,33,0.76,Low,Medium
N134,Uttarakhand Valley Road - Zone 134,753,56,49,0.37,High,Medium
N135,Kinnaur Mountain Highway - Zone 135,1055,65,40,0.57,Medium,Medium
N136,Spiti Valley Cliff Road - Zone 136,977,50,49,0.52,Medium,Medium
N137,Leh-Ladakh Cliff Route - Zone 137,772,20,51,0.33,Low,Medium
N138,Spiti Valley Cliff Road - Zone 138,1713,28,17,0.35,Medium,Low
N139,Leh-Ladakh Cliff Route - Zone 139,1783,72,43,0.4,Low,Medium
N140,Shimla Ridge Highway - Zone 140,906,34,28,0.33,Low,Low
N141,Spiti Valley Cliff Road - Zone 141,559,40,7,0.88,High,Low
N142,Uttarakhand Valley Road - Zone 142,1728,21,45,0.81,Medium,Low
N143,Western Ghats Cliff Route - Zone 143,325,41,35,0.54,Medium,Low
N144,Darjeeling Hill Road - Zone 144,405,37,60,0.53,Low,Medium
N145,Ooty Hill Pass - Zone 145,1307,14,41,0.64,Low,Low
N146,Sikkim Valley Road - Zone 146,605,43,10,0.9,Low,Low
N147,Spiti Valley Cliff Road - Zone 147,1152,33,54,0.57,Medium,Medium
N148,Tawang Mountain Route - Zone 148,908,59,24,0.6,Low,Medium
N149,Mussoorie Hill Road - Zone 149,503,31,45,0.35,High,Medium
N150,Nilgiri Mountain Pass - Zone 150,621,35,16,0.59,Low,Low
N151,Aravalli Hills Road - Zone 151,1136,62,49,0.62,Medium,Medium
N152,Himalayan Ridge Road - Zone 152,774,41,50,0.4,Medium,Medium
N153,Nilgiri Mountain Pass - Zone 153,1707,34,21,0.75,High,Low
N154,Kinnaur Mountain Highway - Zone 154,1654,30,32,0.28,Low,Low
N155,Sikkim Valley Road - Zone 155,844,23,9,0.24,Medium,Low
N156,Mussoorie Hill Road - Zone 156,1465,41,33,0.29,High,Medium
N157,Uttarakhand Valley Road - Zone 157,1733,56,22,0.55,Medium,Medium
N158,Tawang Mountain Route - Zone 158,464,10,32,0.71,High,Low
N159,Leh-Ladakh Cliff Route - Zone 159,352,16,19,0.87,High,Low
N160,Kinnaur Mountain Highway - Zone 160,342,39,41,0.23,Low,Medium
N161,Gangtok Ridge Road - Zone 161,1362,61,22,0.33,High,Medium
N162,Munnar Tea Valley Road - Zone 162,1600,67,10,0.53,Medium,Medium
N163,Nainital Lake Hill Road - Zone 163,957,18,59,0.31,Medium,Medium
N164,Gangtok Ridge Road - Zone 164,890,56,57,0.73,Low,Medium
N165,Tawang Mountain Route - Zone 165,480,45,21,0.43,Medium,Low
N166,Coorg Forest Hill Road - Zone 166,302,74,34,0.49,Low,Medium
N167,Coorg Forest Hill Road - Zone 167,1040,68,45,0.51,Low,Medium
N168,Shimla Ridge Highway - Zone 168,846,75,13,0.85,Medium,Low
N169,Gangtok Ridge Road - Zone 169,548,8,45,0.63,Low,Low
N170,Darjeeling Hill Road - Zone 170,936,75,5,0.59,Low,Medium
N171,Manali Mountain Road - Zone 171,532,64,12,0.65,Low,Low
N172,Gangtok Ridge Road - Zone 172,1767,42,37,0.69,Medium,Low
N173,Gangtok Ridge Road - Zone 173,1267,36,34,0.59,Medium,Low
N174,Shimla Ridge Highway - Zone 174,1527,70,52,0.82,Low,Medium
N175,Leh-Ladakh Cliff Route - Zone 175,1149,48,55,0.56,Low,Medium
N176,Uttarakhand Valley Road - Zone 176,1786,43,58,0.61,High,Medium
N177,Gangtok Ridge Road - Zone 177,604,62,39,0.54,Medium,Medium
N178,Spiti Valley Cliff Road - Zone 178,1412,53,34,0.85,Low,Low
N179,Manali Mountain Road - Zone 179,1471,54,19,0.8,Medium,Low
N180,Himalayan Ridge Road - Zone 180,951,65,50,0.84,Medium,Medium
N181,Ooty Hill Pass - Zone 181,1659,24,36,0.88,Low,Low
N182,Coorg Forest Hill Road - Zone 182,1508,47,60,0.27,Medium,Medium
N183,Western Ghats Cliff Route - Zone 183,1377,63,5,0.71,Medium,Low
N184,Sikkim Valley Road - Zone 184,453,65,55,0.88,Medium,Medium
N185,Mussoorie Hill Road - Zone 185,1718,55,46,0.26,Medium,Medium
N186,Spiti Valley Cliff Road - Zone 186,1078,45,45,0.7,Medium,Medium
N187,Spiti Valley Cliff Road - Zone 187,373,13,20,0.64,Medium,Low
N188,Manali Mountain Road - Zone 188,485,60,11,0.73,High,Low
N189,Western Ghats Cliff Route - Zone 189,1208,26,49,0.41,Low,Medium
N190,Himalayan Ridge Road - Zone 190,964,12,23,0.45,Medium,Low
N191,Sikkim Valley Road - Zone 191,800,72,31,0.6,Low,Medium
N192,Darjeeling Hill Road - Zone 192,658,15,44,0.81,High,Low
N193,Manali Mountain Road - Zone 193,1319,23,19,0.52,Medium,Low
N194,Tawang Mountain Route - Zone 194,822,6,56,0.53,Medium,Low
N195,Spiti Valley Cliff Road - Zone 195,623,14,33,0.86,High,Low
N196,Uttarakhand Valley Road - Zone 196,1608,59,49,0.38,Medium,Medium
N197,Shimla Ridge Highway - Zone 197,1087,66,11,0.37,High,Medium
N198,Kodaikanal Ghat Road - Zone 198,1477,42,49,0.41,High,Medium
N199,Ooty Hill Pass - Zone 199,862,6,41,0.81,High,Low
N200,Himalayan Ridge Road - Zone 200,1541,68,58,0.83,Medium,Medium
N201,Manali Mountain Road - Zone 201,1543,50,19,0.65,High,Low
N202,Leh-Ladakh Cliff Route - Zone 202,1688,22,45,0.27,High,Medium
N203,Himalayan Ridge Road - Zone 203,932,61,7,0.61,High,Low
N204,Sikkim Valley Road - Zone 204,484,42,25,0.72,Low,Low
N205,Shimla Ridge Highway - Zone 205,570,74,28,0.57,Medium,Medium
N206,Darjeeling Hill Road - Zone 206,826,66,56,0.41,Medium,Medium
N207,Western Ghats Cliff Route - Zone 207,1259,14,14,0.73,Low,Low
N208,Ooty Hill Pass - Zone 208,1441,51,10,0.75,Low,Low
N209,Leh-Ladakh Cliff Route - Zone 209,1398,20,34,0.46,High,Low
N210,Leh-Ladakh Cliff Route - Zone 210,1497,53,57,0.65,Medium,Medium
N211,Western Ghats Cliff Route - Zone 211,1682,34,35,0.22,High,Medium
N212,Nainital Lake Hill Road - Zone 212,1549,33,46,0.24,Medium,Medium
N213,Uttarakhand Valley Road - Zone 213,1629,57,12,0.3,Low,Medium
N214,Uttarakhand Valley Road - Zone 214,1308,19,11,0.36,High,Low
N215,Sikkim Valley Road - Zone 215,1095,63,28,0.67,High,Medium
N216,Spiti Valley Cliff Road - Zone 216,1158,24,31,0.66,Medium,Low
N217,Mussoorie Hill Road - Zone 217,1135,40,7,0.68,Low,Low
N218,Tawang Mountain Route - Zone 218,1210,35,59,0.45,High,Medium
N219,Kodaikanal Ghat Road - Zone 219,1415,50,8,0.48,Low,Low
N220,Western Ghats Cliff Route - Zone 220,1231,16,47,0.35,High,Low
N221,Mussoorie Hill Road - Zone 221,343,11,55,0.43,Low,Low
N222,Kinnaur Mountain Highway - Zone 222,720,13,58,0.74,Low,Low
N223,Kinnaur Mountain Highway - Zone 223,742,34,26,0.74,High,Low
N224,Aravalli Hills Road - Zone 224,867,23,13,0.58,Low,Low
N225,Western Ghats Cliff Route - Zone 225,1653,8,13,0.21,Low,Low
N226,Kinnaur Mountain Highway - Zone 226,963,7,16,0.39,Low,Low
N227,Munnar Tea Valley Road - Zone 227,1377,19,52,0.24,Medium,Medium
N228,Kodaikanal Ghat Road - Zone 228,1351,18,33,0.55,High,Low
N229,Himalayan Ridge Road - Zone 229,1789,71,24,0.52,Low,Medium
N230,Himalayan Ridge Road - Zone 230,1280,56,32,0.68,Medium,Medium
N231,Tawang Mountain Route - Zone 231,450,15,25,0.63,Low,Low
N232,Sikkim Valley Road - Zone 232,863,75,50,0.43,High,Medium
N233,Coorg Forest Hill Road - Zone 233,903,63,37,0.62,Low,Medium
N234,Western Ghats Cliff Route - Zone 234,1640,75,51,0.81,Medium,Medium
N235,Tawang Mountain Route - Zone 235,767,57,26,0.78,Medium,Low
N236,Munnar Tea Valley Road - Zone 236,1794,17,25,0.5,High,Low
N237,Leh-Ladakh Cliff Route - Zone 237,1066,24,48,0.85,Low,Low
N238,Nilgiri Mountain Pass - Zone 238,474,16,32,0.27,High,Low
N239,Kodaikanal Ghat Road - Zone 239,566,12,42,0.87,High,Low
N240,Nainital Lake Hill Road - Zone 240,1672,20,31,0.45,High,Low
N241,Munnar Tea Valley Road - Zone 241,1776,11,23,0.62,Medium,Low
N242,Western Ghats Cliff Route - Zone 242,1483,69,18,0.31,Medium,Medium
N243,Manali Mountain Road - Zone 243,521,49,59,0.59,Low,Medium
N244,Leh-Ladakh Cliff Route - Zone 244,1475,33,56,0.5,High,Medium
N245,Mussoorie Hill Road - Zone 245,1556,8,43,0.85,High,Low
N246,Leh-Ladakh Cliff Route - Zone 246,359,28,22,0.69,Medium,Low
N247,Nainital Lake Hill Road - Zone 247,1018,5,16,0.81,High,Low
N248,Ooty Hill Pass - Zone 248,442,23,52,0.64,Low,Low
N249,Nilgiri Mountain Pass - Zone 249,1386,32,29,0.49,Medium,Low
N250,Darjeeling Hill Road - Zone 250,1057,44,51,0.43,High,Medium
N251,Mussoorie Hill Road - Zone 251,473,11,14,0.31,High,Low
N252,Himalayan Ridge Road - Zone 252,1680,15,22,0.51,Medium,Low
N253,Gangtok Ridge Road - Zone 253,1543,61,31,0.39,High,Medium
N254,Western Ghats Cliff Route - Zone 254,1006,60,12,0.4,High,Medium
N255,Kinnaur Mountain Highway - Zone 255,1296,72,47,0.42,Low,Medium
N256,Ooty Hill Pass - Zone 256,1527,12,5,0.34,Low,Low
N257,Sikkim Valley Road - Zone 257,823,42,25,0.28,Medium,Medium
N258,Munnar Tea Valley Road - Zone 258,659,21,29,0.57,Low,Low
N259,Coorg Forest Hill Road - Zone 259,1444,50,9,0.48,High,Low
N260,Himalayan Ridge Road - Zone 260,1193,7,34,0.84,Medium,Low
N261,Kinnaur Mountain Highway - Zone 261,1179,56,50,0.65,Medium,Medium
N262,Western Ghats Cliff Route - Zone 262,1129,7,25,0.32,High,Low
N263,Tawang Mountain Route - Zone 263,1712,51,10,0.51,Low,Low
N264,Manali Mountain Road - Zone 264,1192,56,38,0.26,Medium,Medium
N265,Nainital Lake Hill Road - Zone 265,753,47,54,0.32,High,Medium
N266,Western Ghats Cliff Route - Zone 266,1386,70,17,0.83,Medium,Low
N267,Kodaikanal Ghat Road - Zone 267,1789,23,20,0.27,Medium,Low
N268,Shimla Ridge Highway - Zone 268,655,24,53,0.73,Low,Low
N269,Darjeeling Hill Road - Zone 269,1586,68,34,0.73,High,Medium
N270,Tawang Mountain Route - Zone 270,1694,46,60,0.88,Medium,Medium
N271,Sikkim Valley Road - Zone 271,1200,13,35,0.51,Medium,Low
N272,Leh-Ladakh Cliff Route - Zone 272,1511,12,27,0.56,Medium,Low
N273,Tawang Mountain Route - Zone 273,1225,9,8,0.46,Medium,Low
N274,Nilgiri Mountain Pass - Zone 274,1620,16,44,0.62,Medium,Low
N275,Tawang Mountain Route - Zone 275,1488,75,55,0.72,Low,Medium
N276,Tawang Mountain Route - Zone 276,1470,29,25,0.62,High,Low
N277,Sikkim Valley Road - Zone 277,426,62,11,0.77,Medium,Low
N278,Nilgiri Mountain Pass - Zone 278,1333,27,7,0.37,Medium,Low
N279,Tawang Mountain Route - Zone 279,1373,71,44,0.31,Medium,Medium
N280,Uttarakhand Valley Road - Zone 280,1093,57,54,0.44,High,Medium
N281,Himalayan Ridge Road - Zone 281,1592,47,9,0.43,High,Low
N282,Ooty Hill Pass - Zone 282,881,37,51,0.8,High,Low
N283,Sikkim Valley Road - Zone 283,982,15,42,0.66,Medium,Low
N284,Uttarakhand Valley Road - Zone 284,1643,55,13,0.62,Low,Low
N285,Uttarakhand Valley Road - Zone 285,1444,53,46,0.75,Low,Medium
N286,Coorg Forest Hill Road - Zone 286,491,59,37,0.45,Medium,Medium
N287,Uttarakhand Valley Road - Zone 287,669,32,26,0.86,Medium,Low
N288,Shimla Ridge Highway - Zone 288,763,22,14,0.25,Low,Low
N289,Coorg Forest Hill Road - Zone 289,1405,72,7,0.66,High,Low
N290,Sikkim Valley Road - Zone 290,1523,53,14,0.31,High,Medium
N291,Mussoorie Hill Road - Zone 291,639,61,7,0.49,High,Low
N292,Manali Mountain Road - Zone 292,1209,41,53,0.72,Medium,Medium
N293,Manali Mountain Road - Zone 293,1393,35,24,0.88,Medium,Low
N294,Shimla Ridge Highway - Zone 294,1053,61,34,0.74,Medium,Medium
N295,Coorg Forest Hill Road - Zone 295,1380,58,15,0.77,High,Low
N296,Sikkim Valley Road - Zone 296,812,11,46,0.54,Medium,Low
N297,Spiti Valley Cliff Road - Zone 297,510,71,59,0.29,Low,Medium
N298,Darjeeling Hill Road - Zone 298,858,62,37,0.3,Medium,Medium
N299,Nilgiri Mountain Pass - Zone 299,754,62,27,0.85,Medium,Low
N300,Himalayan Ridge Road - Zone 300,1111,69,28,0.37,Low,Medium
N301,Kodaikanal Ghat Road - Zone 301,759,8,25,0.85,High,Low
N302,Nainital Lake Hill Road - Zone 302,599,22,7,0.4,Medium,Low
N303,Sikkim Valley Road - Zone 303,1744,65,33,0.63,Low,Medium
N304,Aravalli Hills Road - Zone 304,824,32,58,0.3,High,Medium
N305,Mussoorie Hill Road - Zone 305,1380,59,12,0.74,Low,Low
N306,Uttarakhand Valley Road - Zone 306,549,11,20,0.49,High,Low
N307,Tawang Mountain Route - Zone 307,428,19,58,0.83,High,Low
N308,Spiti Valley Cliff Road - Zone 308,333,70,41,0.37,Low,Medium
N309,Uttarakhand Valley Road - Zone 309,1179,5,44,0.45,High,Low
N310,Munnar Tea Valley Road - Zone 310,683,15,38,0.88,Low,Low
N311,Coorg Forest Hill Road - Zone 311,1414,69,55,0.89,High,Medium
N312,Aravalli Hills Road - Zone 312,1099,65,7,0.64,Medium,Low
N313,Leh-Ladakh Cliff Route - Zone 313,333,50,55,0.25,Low,Medium
N314,Western Ghats Cliff Route - Zone 314,1491,47,13,0.23,High,Medium
N315,Nainital Lake Hill Road - Zone 315,1616,27,58,0.75,Medium,Low
N316,Gangtok Ridge Road - Zone 316,1593,28,56,0.29,High,Medium
N317,Tawang Mountain Route - Zone 317,375,42,17,0.23,Low,Medium
N318,Himalayan Ridge Road - Zone 318,946,44,37,0.48,High,Medium
N319,Gangtok Ridge Road - Zone 319,818,9,53,0.65,Medium,Low
N320,Kodaikanal Ghat Road - Zone 320,397,47,22,0.29,Medium,Medium
N321,Munnar Tea Valley Road - Zone 321,1119,61,29,0.44,Low,Medium
N322,Gangtok Ridge Road - Zone 322,1717,68,28,0.85,High,Medium
N323,Leh-Ladakh Cliff Route - Zone 323,469,59,10,0.5,Low,Low
N324,Spiti Valley Cliff Road - Zone 324,901,46,11,0.26,High,Low
N325,Uttarakhand Valley Road - Zone 325,927,62,43,0.7,Low,Medium
N326,Tawang Mountain Route - Zone 326,1019,62,7,0.71,Medium,Low
N327,Mussoorie Hill Road - Zone 327,1190,40,45,0.89,Low,Low
N328,Nilgiri Mountain Pass - Zone 328,1674,56,28,0.56,High,Medium
N329,Darjeeling Hill Road - Zone 329,363,23,59,0.63,Medium,Low
N330,Himalayan Ridge Road - Zone 330,558,13,20,0.74,Medium,Low
N331,Kodaikanal Ghat Road - Zone 331,1084,9,43,0.31,Medium,Low
N332,Kodaikanal Ghat Road - Zone 332,1061,61,53,0.25,Low,Medium
N333,Coorg Forest Hill Road - Zone 333,1051,55,25,0.65,Low,Low
N334,Western Ghats Cliff Route - Zone 334,353,28,36,0.56,High,Low
N335,Western Ghats Cliff Route - Zone 335,836,38,50,0.51,High,Medium
N336,Uttarakhand Valley Road - Zone 336,1721,67,17,0.29,Low,Medium
N337,Tawang Mountain Route - Zone 337,653,61,10,0.77,Medium,Low
N338,Kodaikanal Ghat Road - Zone 338,1753,13,40,0.58,Medium,Low
N339,Darjeeling Hill Road - Zone 339,1757,27,55,0.45,Low,Medium
N340,Western Ghats Cliff Route - Zone 340,711,22,20,0.75,Low,Low
N341,Kodaikanal Ghat Road - Zone 341,1434,52,34,0.76,High,Low
N342,Sikkim Valley Road - Zone 342,1553,16,9,0.42,High,Low
N343,Gangtok Ridge Road - Zone 343,1376,57,54,0.49,High,Medium
N344,Nilgiri Mountain Pass - Zone 344,556,45,46,0.25,Medium,Medium
N345,Coorg Forest Hill Road - Zone 345,1005,21,58,0.75,High,Low
N346,Kinnaur Mountain Highway - Zone 346,672,21,32,0.55,Low,Low
N347,Western Ghats Cliff Route - Zone 347,1361,24,24,0.32,Medium,Low
N348,Manali Mountain Road - Zone 348,1008,71,23,0.79,Medium,Medium
N349,Shimla Ridge Highway - Zone 349,1600,75,22,0.29,Medium,Medium
N350,Mussoorie Hill Road - Zone 350,1392,16,37,0.65,High,Low
N351,Kinnaur Mountain Highway - Zone 351,615,26,47,0.64,High,Low
N352,Nainital Lake Hill Road - Zone 352,1454,10,57,0.8,Low,Low
N353,Himalayan Ridge Road - Zone 353,1613,38,46,0.35,High,Medium
N354,Munnar Tea Valley Road - Zone 354,1565,8,36,0.82,High,Low
N355,Uttarakhand Valley Road - Zone 355,1614,43,35,0.37,High,Medium
N356,Ooty Hill Pass - Zone 356,909,63,9,0.68,Low,Low
N357,Tawang Mountain Route - Zone 357,1151,66,34,0.34,High,Medium
N358,Sikkim Valley Road - Zone 358,940,45,51,0.89,Medium,Low
N359,Ooty Hill Pass - Zone 359,567,52,37,0.59,Medium,Medium
N360,Manali Mountain Road - Zone 360,1255,20,22,0.51,Low,Low
